id,location,event_type,feature,volume,resource_type,severity_type,fault_severity
7871,location 1052,event_type 15,feature 203,4,resource_type 8,severity_type 1,1
10013,location 696,event_type 11,feature 54,1,resource_type 8,severity_type 2,0
13832,location 1008,event_type 15,feature 80,1,resource_type 8,severity_type 2,1
11743,location 798,event_type 15,feature 82,12,resource_type 8,severity_type 2,1
10099,location 760,event_type 11,feature 170,21,resource_type 8,severity_type 1,1
16682,location 777,event_type 15,feature 203,1,resource_type 8,severity_type 2,1
10156,location 95,event_type 35,feature 232,1,resource_type 2,severity_type 2,1
16154,location 699,event_type 54,feature 360,1,resource_type 2,severity_type 5,0
14176,location 272,event_type 35,feature 134,1,resource_type 2,severity_type 1,1
14964,location 704,event_type 15,feature 201,1,resource_type 8,severity_type 2,2
12896,location 613,event_type 54,feature 203,7,resource_type 8,severity_type 1,2
7288,location 846,event_type 15,feature 203,18,resource_type 8,severity_type 2,2
15882,location 795,event_type 11,feature 101,53,resource_type 8,severity_type 1,0
12441,location 826,event_type 13,feature 223,3,resource_type 7,severity_type 1,1
17248,location 112,event_type 11,feature 181,1,resource_type 8,severity_type 2,0
16745,location 778,event_type 15,feature 80,1,resource_type 8,severity_type 2,0
5315,location 810,event_type 11,feature 193,1,resource_type 8,severity_type 1,0
17118,location 895,event_type 42,feature 283,1,resource_type 2,severity_type 1,1
7725,location 690,event_type 11,feature 73,2,resource_type 8,severity_type 1,0
2311,location 494,event_type 20,feature 117,1,resource_type 8,severity_type 1,0
4292,location 1095,event_type 11,feature 77,1,resource_type 8,severity_type 2,0
15773,location 445,event_type 35,feature 232,7,resource_type 2,severity_type 2,0
6531,location 478,event_type 34,feature 234,51,resource_type 2,severity_type 2,0
16009,location 661,event_type 22,feature 75,1,resource_type 7,severity_type 2,0
11930,location 380,event_type 35,feature 312,7,resource_type 2,severity_type 2,0
8541,location 242,event_type 35,feature 232,6,resource_type 2,severity_type 2,0
11019,location 1082,event_type 11,feature 68,1,resource_type 8,severity_type 1,0
8274,location 181,event_type 34,feature 233,2,resource_type 2,severity_type 2,0
722,location 1007,event_type 11,feature 201,2,resource_type 8,severity_type 1,0
12305,location 131,event_type 35,feature 301,1,resource_type 2,severity_type 2,1
11444,location 1007,event_type 15,feature 80,6,resource_type 8,severity_type 1,1
4006,location 931,event_type 11,feature 201,1,resource_type 8,severity_type 1,1
9231,location 980,event_type 11,feature 80,1,resource_type 8,severity_type 1,1
6821,location 118,event_type 34,feature 232,11,resource_type 2,severity_type 1,0
12888,location 373,event_type 34,feature 232,1,resource_type 2,severity_type 2,0
6779,location 169,event_type 35,feature 307,2,resource_type 2,severity_type 2,0
11232,location 421,event_type 34,feature 307,3,resource_type 2,severity_type 1,0
11685,location 779,event_type 15,feature 82,42,resource_type 8,severity_type 2,2
1318,location 690,event_type 11,feature 219,1,resource_type 8,severity_type 1,1
909,location 59,event_type 11,feature 171,1,resource_type 8,severity_type 2,1
18511,location 648,event_type 11,feature 345,2,resource_type 6,severity_type 1,1
16460,location 478,event_type 34,feature 309,21,resource_type 2,severity_type 2,0
12008,location 118,event_type 34,feature 232,13,resource_type 2,severity_type 2,0
6811,location 124,event_type 35,feature 235,5,resource_type 2,severity_type 2,0
16071,location 7,event_type 11,feature 171,3,resource_type 8,severity_type 1,0
4486,location 12,event_type 11,feature 74,1,resource_type 8,severity_type 1,0
183,location 1026,event_type 13,feature 273,2,resource_type 6,severity_type 1,1
5729,location 270,event_type 35,feature 313,1,resource_type 2,severity_type 4,0
15368,location 1106,event_type 11,feature 170,27,resource_type 8,severity_type 1,0
5064,location 1090,event_type 11,feature 202,10,resource_type 8,severity_type 1,0
11530,location 522,event_type 35,feature 312,3,resource_type 2,severity_type 2,0
14860,location 1007,event_type 15,feature 80,2,resource_type 8,severity_type 1,0
13166,location 836,event_type 11,feature 73,1,resource_type 8,severity_type 1,0
14528,location 145,event_type 34,feature 232,2,resource_type 2,severity_type 2,0
4202,location 895,event_type 44,feature 376,5,resource_type 2,severity_type 2,1
3916,location 1020,event_type 11,feature 209,2,resource_type 8,severity_type 1,1
11454,location 804,event_type 20,feature 219,1,resource_type 2,severity_type 1,1
12297,location 1055,event_type 11,feature 193,81,resource_type 8,severity_type 1,0
553,location 798,event_type 11,feature 82,38,resource_type 8,severity_type 1,0
10390,location 1052,event_type 15,feature 82,12,resource_type 8,severity_type 1,1
5056,location 122,event_type 34,feature 313,3,resource_type 2,severity_type 2,0
10503,location 157,event_type 35,feature 232,1,resource_type 2,severity_type 2,0
1835,location 802,event_type 18,feature 68,3,resource_type 8,severity_type 1,1
10085,location 242,event_type 34,feature 314,71,resource_type 2,severity_type 2,0
13807,location 893,event_type 43,feature 376,30,resource_type 2,severity_type 1,0
11318,location 457,event_type 35,feature 233,35,resource_type 2,severity_type 2,0
533,location 99,event_type 35,feature 312,1,resource_type 2,severity_type 4,0
10538,location 839,event_type 11,feature 54,49,resource_type 8,severity_type 1,1
11549,location 719,event_type 20,feature 134,1,resource_type 2,severity_type 1,0
16900,location 793,event_type 11,feature 195,2,resource_type 8,severity_type 1,0
599,location 1109,event_type 20,feature 134,1,resource_type 2,severity_type 1,0
11700,location 648,event_type 11,feature 54,3,resource_type 4,severity_type 1,0
18331,location 957,event_type 11,feature 171,1,resource_type 8,severity_type 2,0
5381,location 600,event_type 15,feature 203,8,resource_type 8,severity_type 2,2
13638,location 665,event_type 11,feature 55,16,resource_type 8,severity_type 1,0
2703,location 846,event_type 15,feature 82,2,resource_type 8,severity_type 2,0
13686,location 1107,event_type 15,feature 193,1,resource_type 8,severity_type 2,0
6240,location 1052,event_type 15,feature 203,4,resource_type 2,severity_type 1,2
8546,location 1107,event_type 11,feature 71,15,resource_type 8,severity_type 1,0
4578,location 948,event_type 11,feature 170,1,resource_type 8,severity_type 2,0
15870,location 646,event_type 11,feature 203,10,resource_type 8,severity_type 1,0
17084,location 302,event_type 35,feature 301,1,resource_type 2,severity_type 4,0
4114,location 273,event_type 11,feature 68,1,resource_type 8,severity_type 1,0
8011,location 1,event_type 15,feature 68,7,resource_type 8,severity_type 2,0
6588,location 124,event_type 35,feature 315,3,resource_type 2,severity_type 2,0
12490,location 704,event_type 11,feature 71,1,resource_type 8,severity_type 1,2
3975,location 476,event_type 35,feature 312,5,resource_type 2,severity_type 2,0
4720,location 152,event_type 35,feature 312,3,resource_type 2,severity_type 2,0
15209,location 734,event_type 15,feature 193,4,resource_type 8,severity_type 1,0
6092,location 1076,event_type 15,feature 56,1,resource_type 8,severity_type 2,1
9426,location 798,event_type 11,feature 203,12,resource_type 8,severity_type 1,0
2307,location 520,event_type 34,feature 312,12,resource_type 2,severity_type 2,0
13291,location 1046,event_type 11,feature 345,2,resource_type 8,severity_type 1,0
17245,location 803,event_type 11,feature 68,1,resource_type 8,severity_type 2,1
11726,location 963,event_type 11,feature 195,129,resource_type 8,severity_type 1,0
15486,location 821,event_type 15,feature 193,1,resource_type 8,severity_type 1,0
9033,location 1061,event_type 11,feature 80,4,resource_type 8,severity_type 1,2
9959,location 714,event_type 11,feature 68,4,resource_type 8,severity_type 1,0
3798,location 242,event_type 35,feature 314,13,resource_type 2,severity_type 2,0
15624,location 613,event_type 11,feature 193,5,resource_type 8,severity_type 1,1
5995,location 91,event_type 35,feature 314,1,resource_type 2,severity_type 2,0
9644,location 1007,event_type 11,feature 201,3,resource_type 8,severity_type 1,0
10779,location 300,event_type 34,feature 312,13,resource_type 2,severity_type 2,0
9734,location 272,event_type 34,feature 312,1,resource_type 2,severity_type 2,1
14954,location 1106,event_type 11,feature 54,13,resource_type 8,severity_type 1,1
15493,location 611,event_type 20,feature 134,2,resource_type 2,severity_type 1,0
6222,location 724,event_type 11,feature 68,1,resource_type 8,severity_type 1,1
17390,location 173,event_type 34,feature 233,1,resource_type 2,severity_type 2,1
6826,location 943,event_type 11,feature 68,1,resource_type 8,severity_type 1,1
8611,location 821,event_type 11,feature 82,21,resource_type 8,severity_type 1,2
9087,location 795,event_type 15,feature 51,13,resource_type 8,severity_type 2,0
17472,location 733,event_type 11,feature 206,2,resource_type 8,severity_type 1,1
12760,location 249,event_type 34,feature 232,2,resource_type 2,severity_type 2,0
4963,location 704,event_type 15,feature 203,9,resource_type 8,severity_type 2,2
6225,location 821,event_type 11,feature 74,1,resource_type 8,severity_type 1,1
7959,location 802,event_type 13,feature 345,2,resource_type 6,severity_type 1,0
1773,location 957,event_type 54,feature 202,2,resource_type 2,severity_type 1,1
6136,location 408,event_type 34,feature 315,2,resource_type 2,severity_type 2,1
5965,location 723,event_type 11,feature 209,2,resource_type 8,severity_type 1,1
5390,location 255,event_type 35,feature 312,4,resource_type 2,severity_type 2,0
13663,location 655,event_type 11,feature 158,14,resource_type 8,severity_type 1,2
4501,location 888,event_type 20,feature 134,2,resource_type 2,severity_type 1,0
13442,location 704,event_type 15,feature 82,8,resource_type 8,severity_type 2,1
6958,location 989,event_type 11,feature 68,1,resource_type 8,severity_type 2,0
16339,location 1015,event_type 11,feature 54,4,resource_type 8,severity_type 1,0
9372,location 1019,event_type 15,feature 196,22,resource_type 8,severity_type 1,0
5576,location 692,event_type 11,feature 170,1,resource_type 8,severity_type 1,1
663,location 653,event_type 54,feature 82,27,resource_type 2,severity_type 1,0
1473,location 945,event_type 11,feature 202,4,resource_type 8,severity_type 1,1
949,location 651,event_type 11,feature 83,1,resource_type 8,severity_type 1,0
10513,location 1106,event_type 11,feature 54,1,resource_type 8,severity_type 1,0
14289,location 763,event_type 11,feature 196,2,resource_type 8,severity_type 1,1
15260,location 416,event_type 35,feature 301,2,resource_type 2,severity_type 4,0
9812,location 830,event_type 11,feature 54,108,resource_type 8,severity_type 1,0
4916,location 704,event_type 15,feature 82,14,resource_type 8,severity_type 2,2
17515,location 1024,event_type 11,feature 42,7,resource_type 8,severity_type 1,2
17388,location 497,event_type 35,feature 232,2,resource_type 2,severity_type 2,0
4450,location 890,event_type 11,feature 73,3,resource_type 8,severity_type 2,0
16258,location 849,event_type 11,feature 109,13,resource_type 8,severity_type 2,0
10528,location 208,event_type 20,feature 219,1,resource_type 2,severity_type 1,0
4003,location 255,event_type 34,feature 312,3,resource_type 2,severity_type 2,1
3954,location 139,event_type 20,feature 313,1,resource_type 2,severity_type 1,1
13945,location 914,event_type 23,feature 306,1,resource_type 4,severity_type 1,1
15607,location 326,event_type 21,feature 135,2,resource_type 2,severity_type 1,0
11897,location 937,event_type 11,feature 204,2,resource_type 8,severity_type 1,0
12609,location 1086,event_type 15,feature 82,10,resource_type 8,severity_type 2,0
10122,location 506,event_type 35,feature 313,6,resource_type 2,severity_type 2,0
7886,location 149,event_type 35,feature 307,1,resource_type 2,severity_type 4,0
15771,location 846,event_type 15,feature 82,8,resource_type 8,severity_type 2,0
17681,location 865,event_type 11,feature 54,2,resource_type 8,severity_type 1,0
15863,location 925,event_type 11,feature 170,12,resource_type 8,severity_type 1,2
17690,location 798,event_type 15,feature 203,5,resource_type 8,severity_type 2,1
8606,location 243,event_type 34,feature 234,63,resource_type 2,severity_type 2,0
11362,location 193,event_type 35,feature 314,1,resource_type 2,severity_type 2,0
4604,location 723,event_type 11,feature 87,1,resource_type 8,severity_type 1,0
5480,location 471,event_type 34,feature 233,2,resource_type 2,severity_type 2,0
12277,location 1107,event_type 11,feature 82,129,resource_type 8,severity_type 1,2
1400,location 375,event_type 34,feature 313,5,resource_type 2,severity_type 2,0
6687,location 91,event_type 35,feature 235,289,resource_type 2,severity_type 2,0
11153,location 1047,event_type 11,feature 55,2,resource_type 8,severity_type 2,0
8313,location 798,event_type 15,feature 82,37,resource_type 8,severity_type 2,2
5787,location 490,event_type 35,feature 312,1,resource_type 2,severity_type 2,0
741,location 1051,event_type 11,feature 207,1,resource_type 8,severity_type 1,0
16502,location 763,event_type 15,feature 82,12,resource_type 8,severity_type 2,0
4036,location 896,event_type 42,feature 375,8,resource_type 2,severity_type 1,0
5029,location 1011,event_type 20,feature 134,1,resource_type 2,severity_type 1,0
18158,location 834,event_type 15,feature 203,4,resource_type 8,severity_type 2,1
18441,location 118,event_type 35,feature 312,16,resource_type 2,severity_type 2,0
4268,location 97,event_type 35,feature 312,2,resource_type 2,severity_type 4,0
4092,location 1019,event_type 15,feature 82,12,resource_type 8,severity_type 1,0
16819,location 226,event_type 35,feature 312,1,resource_type 2,severity_type 4,0
7774,location 962,event_type 15,feature 203,4,resource_type 8,severity_type 2,2
5824,location 885,event_type 11,feature 70,1,resource_type 8,severity_type 2,0
7295,location 821,event_type 11,feature 193,1,resource_type 8,severity_type 1,1
18146,location 812,event_type 11,feature 18,2,resource_type 8,severity_type 1,0
17409,location 816,event_type 13,feature 170,154,resource_type 8,severity_type 1,2
6095,location 638,event_type 42,feature 376,4,resource_type 2,severity_type 4,0
9032,location 945,event_type 11,feature 191,6,resource_type 8,severity_type 1,0
5210,location 468,event_type 34,feature 312,12,resource_type 2,severity_type 2,0
11177,location 380,event_type 35,feature 312,3,resource_type 2,severity_type 2,0
12324,location 1109,event_type 11,feature 273,2,resource_type 8,severity_type 1,1
1697,location 1122,event_type 20,feature 219,1,resource_type 2,severity_type 1,0
3106,location 1098,event_type 11,feature 207,1,resource_type 8,severity_type 2,1
7824,location 376,event_type 34,feature 221,1,resource_type 2,severity_type 1,0
2588,location 1,event_type 15,feature 82,9,resource_type 8,severity_type 1,0
13644,location 303,event_type 35,feature 312,1,resource_type 2,severity_type 4,0
13082,location 126,event_type 34,feature 227,6,resource_type 2,severity_type 2,0
8150,location 520,event_type 35,feature 232,9,resource_type 2,severity_type 2,0
6234,location 734,event_type 11,feature 71,5,resource_type 8,severity_type 1,0
10350,location 507,event_type 35,feature 312,27,resource_type 2,severity_type 2,0
13538,location 709,event_type 11,feature 73,2,resource_type 8,severity_type 1,0
2338,location 466,event_type 35,feature 234,2,resource_type 2,severity_type 2,0
17947,location 466,event_type 35,feature 228,2,resource_type 2,severity_type 2,0
9786,location 12,event_type 15,feature 178,1,resource_type 8,severity_type 2,0
9514,location 1102,event_type 11,feature 65,2,resource_type 8,severity_type 2,0
13670,location 998,event_type 11,feature 54,1,resource_type 8,severity_type 2,0
15482,location 727,event_type 11,feature 209,1,resource_type 8,severity_type 1,0
12517,location 76,event_type 11,feature 171,2,resource_type 8,severity_type 1,1
411,location 734,event_type 11,feature 80,3,resource_type 8,severity_type 1,1
10237,location 830,event_type 11,feature 170,31,resource_type 8,severity_type 1,0
12734,location 798,event_type 11,feature 203,6,resource_type 8,severity_type 1,0
10863,location 309,event_type 34,feature 232,2,resource_type 2,severity_type 2,0
11390,location 737,event_type 11,feature 42,2,resource_type 8,severity_type 2,0
5260,location 1111,event_type 11,feature 207,1,resource_type 8,severity_type 1,0
8244,location 314,event_type 34,feature 313,2,resource_type 2,severity_type 2,1
4161,location 1023,event_type 29,feature 217,1,resource_type 9,severity_type 1,1
16354,location 658,event_type 11,feature 161,1,resource_type 8,severity_type 1,0
15236,location 477,event_type 35,feature 234,36,resource_type 2,severity_type 2,0
14877,location 990,event_type 11,feature 170,4,resource_type 8,severity_type 1,0
4810,location 445,event_type 35,feature 312,9,resource_type 2,severity_type 2,0
4637,location 618,event_type 23,feature 306,2,resource_type 7,severity_type 4,0
14124,location 758,event_type 11,feature 68,1,resource_type 8,severity_type 1,1
4737,location 488,event_type 34,feature 234,2,resource_type 2,severity_type 2,0
5377,location 643,event_type 42,feature 368,2,resource_type 2,severity_type 1,1
14696,location 834,event_type 15,feature 82,24,resource_type 8,severity_type 2,0
2880,location 607,event_type 40,feature 68,3,resource_type 4,severity_type 1,1
17021,location 141,event_type 35,feature 307,1,resource_type 2,severity_type 4,0
11043,location 497,event_type 35,feature 313,27,resource_type 2,severity_type 2,0
6,location 332,event_type 34,feature 227,1,resource_type 2,severity_type 2,1
2380,location 821,event_type 54,feature 82,13,resource_type 8,severity_type 1,1
6563,location 794,event_type 14,feature 306,1,resource_type 7,severity_type 1,0
2273,location 814,event_type 11,feature 70,15,resource_type 8,severity_type 1,0
1743,location 794,event_type 23,feature 223,1,resource_type 4,severity_type 1,1
12919,location 921,event_type 15,feature 82,4,resource_type 8,severity_type 2,2
7922,location 742,event_type 54,feature 201,1,resource_type 2,severity_type 1,0
8201,location 897,event_type 50,feature 374,2,resource_type 2,severity_type 4,0
13659,location 466,event_type 35,feature 307,3,resource_type 2,severity_type 2,0
2861,location 1107,event_type 11,feature 193,1,resource_type 8,severity_type 1,0
17883,location 744,event_type 13,feature 54,13,resource_type 8,severity_type 1,2
17057,location 122,event_type 34,feature 232,1,resource_type 2,severity_type 2,0
12316,location 240,event_type 35,feature 227,2,resource_type 2,severity_type 2,0
12541,location 691,event_type 23,feature 134,1,resource_type 8,severity_type 1,0
363,location 809,event_type 11,feature 71,5,resource_type 8,severity_type 1,0
4166,location 549,event_type 39,feature 171,4,resource_type 8,severity_type 1,1
8354,location 810,event_type 15,feature 193,1,resource_type 8,severity_type 2,0
9160,location 1089,event_type 11,feature 170,7,resource_type 8,severity_type 1,1
1476,location 266,event_type 35,feature 312,2,resource_type 2,severity_type 4,0
8193,location 1010,event_type 11,feature 195,5,resource_type 8,severity_type 1,1
12708,location 1094,event_type 11,feature 74,2,resource_type 8,severity_type 1,1
13410,location 345,event_type 11,feature 44,1,resource_type 2,severity_type 2,0
12066,location 501,event_type 35,feature 315,2,resource_type 2,severity_type 2,0
8570,location 939,event_type 11,feature 193,1,resource_type 8,severity_type 1,0
4204,location 957,event_type 11,feature 55,2,resource_type 8,severity_type 1,0
18290,location 373,event_type 34,feature 232,69,resource_type 2,severity_type 2,0
11441,location 684,event_type 15,feature 203,4,resource_type 8,severity_type 2,2
17975,location 1094,event_type 11,feature 66,1,resource_type 8,severity_type 1,1
11262,location 821,event_type 15,feature 82,14,resource_type 8,severity_type 2,0
3768,location 823,event_type 11,feature 71,5,resource_type 8,severity_type 1,0
11418,location 244,event_type 35,feature 232,52,resource_type 2,severity_type 2,0
13813,location 857,event_type 11,feature 204,2,resource_type 8,severity_type 1,1
1665,location 846,event_type 15,feature 82,17,resource_type 8,severity_type 2,1
4170,location 1065,event_type 20,feature 134,1,resource_type 2,severity_type 1,0
12798,location 1008,event_type 15,feature 82,18,resource_type 8,severity_type 2,0
681,location 1099,event_type 11,feature 70,5,resource_type 8,severity_type 1,0
319,location 1099,event_type 11,feature 202,2,resource_type 8,severity_type 1,0
17956,location 300,event_type 34,feature 313,8,resource_type 2,severity_type 2,0
429,location 793,event_type 11,feature 195,37,resource_type 8,severity_type 1,0
6663,location 906,event_type 11,feature 202,4,resource_type 8,severity_type 1,1
10586,location 404,event_type 35,feature 219,1,resource_type 2,severity_type 1,1
8583,location 1117,event_type 11,feature 55,3,resource_type 8,severity_type 1,0
8030,location 461,event_type 35,feature 312,3,resource_type 2,severity_type 2,0
5099,location 95,event_type 35,feature 230,6,resource_type 2,severity_type 2,0
446,location 1056,event_type 11,feature 170,1,resource_type 6,severity_type 1,1
5725,location 995,event_type 15,feature 203,2,resource_type 8,severity_type 2,1
15436,location 893,event_type 42,feature 368,10,resource_type 2,severity_type 1,0
6758,location 500,event_type 35,feature 315,1,resource_type 2,severity_type 2,0
6449,location 122,event_type 35,feature 313,5,resource_type 2,severity_type 2,0
4552,location 613,event_type 54,feature 203,4,resource_type 8,severity_type 1,1
17865,location 846,event_type 15,feature 203,11,resource_type 8,severity_type 2,0
1645,location 653,event_type 15,feature 203,2,resource_type 8,severity_type 2,1
1308,location 100,event_type 34,feature 230,1,resource_type 2,severity_type 2,0
8781,location 311,event_type 34,feature 312,7,resource_type 2,severity_type 2,1
831,location 126,event_type 34,feature 313,3,resource_type 2,severity_type 2,0
15145,location 1107,event_type 15,feature 71,1,resource_type 8,severity_type 2,0
17654,location 477,event_type 34,feature 211,1,resource_type 8,severity_type 1,0
603,location 507,event_type 35,feature 229,2,resource_type 2,severity_type 2,0
5962,location 390,event_type 35,feature 315,1,resource_type 2,severity_type 2,0
11520,location 756,event_type 11,feature 68,1,resource_type 8,severity_type 1,0
10341,location 90,event_type 34,feature 232,4,resource_type 2,severity_type 2,0
5070,location 684,event_type 15,feature 203,14,resource_type 8,severity_type 1,0
1197,location 479,event_type 34,feature 314,10,resource_type 2,severity_type 2,0
6187,location 734,event_type 11,feature 74,1,resource_type 8,severity_type 1,1
733,location 1106,event_type 11,feature 54,16,resource_type 8,severity_type 1,0
2242,location 124,event_type 34,feature 307,2,resource_type 2,severity_type 2,0
479,location 1025,event_type 11,feature 188,1,resource_type 8,severity_type 1,0
12362,location 473,event_type 35,feature 315,4,resource_type 2,severity_type 2,0
14596,location 314,event_type 35,feature 313,1,resource_type 2,severity_type 2,0
6801,location 1107,event_type 11,feature 203,7,resource_type 8,severity_type 1,1
4896,location 249,event_type 11,feature 160,3,resource_type 8,severity_type 1,1
3287,location 613,event_type 11,feature 203,4,resource_type 8,severity_type 1,1
8377,location 161,event_type 34,feature 312,2,resource_type 2,severity_type 2,1
14233,location 1029,event_type 11,feature 171,2,resource_type 8,severity_type 1,0
5065,location 711,event_type 11,feature 172,2,resource_type 8,severity_type 1,0
6233,location 375,event_type 35,feature 313,50,resource_type 2,severity_type 2,0
4160,location 97,event_type 20,feature 219,1,resource_type 2,severity_type 1,0
16840,location 244,event_type 34,feature 232,31,resource_type 2,severity_type 2,0
18192,location 1054,event_type 11,feature 73,2,resource_type 8,severity_type 1,0
7711,location 974,event_type 11,feature 209,2,resource_type 8,severity_type 2,0
7254,location 810,event_type 15,feature 193,1,resource_type 8,severity_type 1,1
3214,location 734,event_type 15,feature 82,4,resource_type 8,severity_type 1,0
14597,location 1115,event_type 11,feature 73,1,resource_type 8,severity_type 1,1
15086,location 867,event_type 11,feature 204,2,resource_type 8,severity_type 1,2
8686,location 326,event_type 21,feature 308,1,resource_type 2,severity_type 1,0
16989,location 931,event_type 20,feature 203,3,resource_type 1,severity_type 1,2
420,location 686,event_type 22,feature 305,1,resource_type 8,severity_type 1,0
16891,location 242,event_type 35,feature 314,61,resource_type 2,severity_type 2,0
8046,location 899,event_type 44,feature 378,1,resource_type 2,severity_type 1,1
7484,location 202,event_type 35,feature 134,1,resource_type 2,severity_type 1,0
14880,location 923,event_type 11,feature 195,1,resource_type 8,severity_type 1,0
16049,location 894,event_type 43,feature 290,3,resource_type 2,severity_type 1,0
227,location 771,event_type 15,feature 71,2,resource_type 8,severity_type 2,0
1387,location 95,event_type 35,feature 227,1,resource_type 2,severity_type 2,0
12011,location 485,event_type 35,feature 232,5,resource_type 2,severity_type 2,0
6123,location 974,event_type 11,feature 87,2,resource_type 8,severity_type 1,0
8935,location 919,event_type 11,feature 202,2,resource_type 8,severity_type 1,0
2865,location 1009,event_type 11,feature 73,1,resource_type 8,severity_type 1,0
17241,location 814,event_type 11,feature 70,2,resource_type 8,severity_type 2,0
5237,location 973,event_type 20,feature 219,1,resource_type 2,severity_type 1,0
3185,location 120,event_type 35,feature 312,1,resource_type 2,severity_type 2,1
4691,location 504,event_type 11,feature 229,2,resource_type 2,severity_type 1,0
8423,location 500,event_type 35,feature 312,2,resource_type 2,severity_type 2,0
17894,location 1058,event_type 11,feature 68,1,resource_type 8,severity_type 2,0
14642,location 497,event_type 34,feature 312,71,resource_type 2,severity_type 2,0
5292,location 471,event_type 34,feature 233,2,resource_type 2,severity_type 2,0
3670,location 1084,event_type 11,feature 170,4,resource_type 8,severity_type 1,1
